trading_date,delivery_date,open,close
2015-11-30,2016-01-01,17.85,18.15
2015-12-01,2016-01-01,18.05,18.1
2015-12-02,2016-01-01,18.15,17.675
2015-12-03,2016-01-01,17.64,17.375
2015-12-04,2016-01-01,17.35,17.45
2015-12-07,2016-01-01,17.2,16.875
2015-12-08,2016-01-01,16.8,16.8
2015-12-09,2016-01-01,16.65,16.55
2015-12-10,2016-01-01,16.45,16.48
2015-12-11,2016-01-01,16.45,16.2
2015-12-14,2016-01-01,16.0,15.9
2015-12-15,2016-01-01,15.85,16.05
2015-12-16,2016-01-01,15.925,15.6
2015-12-17,2016-01-01,15.5,15.7
2015-12-18,2016-01-01,15.6,15.37
2015-12-21,2016-01-01,15.115,15.1
2015-12-22,2016-01-01,15.125,14.975
2015-12-23,2016-01-01,14.925,14.525
2015-12-24,2016-01-01,14.5,14.4
2015-12-29,2016-01-01,14.95,15.4
2015-12-30,2016-01-01,15.175,14.9
2015-12-31,2016-02-01,14.925,14.8
2016-01-04,2016-02-01,14.75,14.6
2016-01-05,2016-02-01,15.1,14.8
2016-01-06,2016-02-01,15.175,15.3
2016-01-07,2016-02-01,15.0,15.425
2016-01-08,2016-02-01,15.05,14.6
2016-01-11,2016-02-01,14.775,14.575
2016-01-12,2016-02-01,14.15,14.0
2016-01-13,2016-02-01,14.375,14.3
2016-01-14,2016-02-01,13.925,13.775
2016-01-15,2016-02-01,13.725,13.325
2016-01-18,2016-02-01,13.3,13.4
2016-01-19,2016-02-01,13.4,13.35
2016-01-20,2016-02-01,13.0,12.75
2016-01-21,2016-02-01,12.6,12.775
2016-01-22,2016-02-01,12.995,13.5
2016-01-25,2016-02-01,13.1,12.7
2016-01-26,2016-02-01,12.3,13.05
2016-01-27,2016-02-01,12.85,13.5
2016-01-28,2016-02-01,13.55,13.59
2016-01-29,2016-03-01,14.0,13.4
2016-02-01,2016-03-01,13.315,12.8
2016-02-02,2016-03-01,12.7,12.85
2016-02-03,2016-03-01,12.7,12.85
2016-02-04,2016-03-01,12.775,12.325
2016-02-05,2016-03-01,12.3,12.275
2016-02-08,2016-03-01,12.4,12.2
2016-02-09,2016-03-01,12.325,12.01
2016-02-10,2016-03-01,11.905,12.005
2016-02-11,2016-03-01,11.95,11.925
2016-02-12,2016-03-01,11.95,11.95
2016-02-15,2016-03-01,12.05,11.875
2016-02-16,2016-03-01,12.055,11.775
2016-02-17,2016-03-01,11.6,11.93
2016-02-18,2016-03-01,12.05,12.075
2016-02-19,2016-03-01,11.925,12.075
2016-02-22,2016-03-01,12.2,12.48
2016-02-23,2016-03-01,12.4,12.35
2016-02-24,2016-03-01,12.15,12.1
2016-02-25,2016-03-01,12.025,11.95
2016-02-26,2016-03-01,12.1,12.175
2016-02-29,2016-04-01,12.07,12.175
2016-03-01,2016-04-01,12.225,12.195
2016-03-02,2016-04-01,12.3,12.175
2016-03-03,2016-04-01,12.025,12.0
2016-03-04,2016-04-01,11.9,11.825
2016-03-07,2016-04-01,11.825,11.875
2016-03-08,2016-04-01,11.805,11.95
2016-03-09,2016-04-01,11.985,12.1
2016-03-10,2016-04-01,12.045,11.875
2016-03-11,2016-04-01,11.805,12.05
2016-03-14,2016-04-01,12.05,12.0
2016-03-15,2016-04-01,11.9,12.025
2016-03-16,2016-04-01,12.05,11.94
2016-03-17,2016-04-01,11.85,12.055
2016-03-18,2016-04-01,12.0,12.075
2016-03-21,2016-04-01,11.855,11.925
2016-03-22,2016-04-01,11.925,11.925
2016-03-23,2016-04-01,11.9,11.99
